,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875
"0,500000","430,117138","465,679362","504,123648","545,830616","591,250381","640,920113","695,484967","755,728678","822,613238","897,331685","981,385198","1076,688209","1185,725238","1311,780086","1459,292360","1634,419092"
"0,600000","377,194758","407,222512","439,567451","474,522750","512,477252","553,789970","598,940919","648,505130","703,177623","763,806532","831,451681","907,377175","993,335623","1091,574081","1205,010856","1337,585760"
"0,700000","330,624597","356,005076","383,270601","412,705418","444,524086","479,111625","516,786313","557,994900","603,273839","653,273088","708,932133","770,949131","840,841038","920,009505","1010,350903","1114,736374"
"0,800000","289,515738","310,900377","333,865710","358,600946","385,240275","414,171526","445,594651","479,852476","517,360947","558,709369","604,476504","655,294463","712,250324","776,500241","849,326932","932,791486"
"0,900000","253,204247","271,216474","290,513702","311,245804","333,571518","357,700219","383,881992","412,348174","443,472698","477,635749","515,279067","557,011606","603,484712","655,730049","714,650754","781,762042"
"1,000000","223,166358","238,376621","254,612664","271,989503","290,640255","310,719555","332,408583","355,921268","381,511836","409,485659","440,213176","474,148547","511,856429","554,048412","601,637503","655,747928"
"1,100000","200,432769","213,596821","227,604988","242,547259","258,526664","275,662160","294,091547","313,975623","335,503516","358,899283","384,430563","412,420145","443,261413","477,439415","515,560565","558,394354"
"1,200000","182,624136","194,238546","206,568646","219,687811","233,679526","248,639435","264,677684","281,921793","300,520556","320,648323","342,511499","366,356049","392,477571","421,235518","453,071441","488,534801"
"1,300000","168,279460","178,678446","189,697878","201,399296","213,852706","227,137538","241,344993","256,580008","272,964316","290,639451","309,771828","330,557746","353,231316","378,074023","405,427553","435,710983"
"1,400000","156,467260","165,886841","175,853456","186,420146","197,646746","209,601193","222,360815","236,014541","250,664624","266,429699","283,448182","301,882492","321,924921","343,804499","367,797120","394,237691"
"1,500000","146,564693","155,177705","164,279772","173,917066","184,142082","195,013670","206,599041","218,974896","232,229289","246,463979","261,796874","278,365792","296,333010","315,890570","337,268353","360,742818"
"1,600000","138,138832","146,075833","154,454750","163,316676","172,708050","182,680771","193,294243","204,615664","216,722219","229,702609","243,659298","258,711874","274,999847","292,688160","311,972452","333,087663"
"1,700000","130,879007","138,241043","146,006085","154,211094","162,897504","172,111947","181,907312","192,343552","203,489097","215,422406","228,234115","242,029221","256,930062","273,080582","290,650811","309,843754"
"1,800000","124,556486","131,423407","138,660611","146,301644","154,384062","162,950065","172,047256","181,729560","192,058419","203,104445","214,948228","227,683376","241,418794","256,281813","272,422272","290,018632"
"1,900000","118,999178","125,434975","132,213385","139,365011","146,924017","154,928896","163,423014","172,455416","182,081807","192,365736","203,380483","215,210008","227,952353","241,721290","256,650873","272,899518"
"2,000000","114,074550","120,131802","126,507557","133,230247","140,331235","147,845768","155,813633","164,279774","173,295163","182,917867","193,214331","204,260967","216,146659","228,974207","242,864978","257,961129"
