η_e \ Δ,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875
"0,25","10,010917","10,932927","11,588373","11,934039","11,931145","11,569007","10,891093","9,923281","8,689249","7,338534","5,936766","4,573461","3,334592","2,283939","1,454114","0,850072"
"0,30","10,294373","11,584960","12,637428","13,377310","13,733264","13,662297","13,178024","12,293971","11,023284","9,522646","7,876314","6,201267","4,619346","3,231188","2,100214","1,252990"
"0,35","9,967060","11,537947","12,932111","14,050121","14,790982","15,077283","14,882685","14,200022","13,023252","11,495579","9,711347","7,806673","5,935265","4,235798","2,807985","1,707933"
"0,40","9,245400","10,994128","12,645539","14,084894","15,188863","15,848988","15,995454","15,595428","14,617633","13,173766","11,358169","9,315299","7,223059","5,255411","3,550575","2,200064"
"0,45","8,304956","10,133976","11,950030","13,633455","15,047990","16,061157","16,561690","16,489674","15,785713","14,516279","12,765787","10,675453","8,437447","6,255132","4,304349","2,715476"
"0,50","7,275049","9,101624","10,994852","12,839479","14,495962","15,816660","16,654866","16,925259","16,540477","15,512971","13,908616","11,854352","9,545709","7,207373","5,049248","3,241611"
"0,55","6,244121","8,004030","9,899293","11,826412","13,651199","15,220054","16,359238","16,962007","16,915727","16,174820","14,779982","12,834310","10,525836","8,091221","5,768765","3,767446"
"0,60","5,268216","6,915736","8,753182","10,693848","12,615822","14,368061","15,759206","16,666561","16,956782","16,526458","15,386739","13,609292","11,364653","8,891618","6,449729","4,283528"
"0,65","4,379364","5,885277","7,620606","9,518237","11,473481","13,345013","14,933233","16,105660","16,713992","16,600598","15,744962","14,181978","12,056066","9,598502","7,081992","4,781929"
"0,70","3,592668","4,941437","6,544621","8,355582","10,289847","12,221310","13,950725","15,342064","16,238370","16,433963","15,876609","14,561337","12,599533","10,205984","7,658073","5,256149"
"0,75","2,911866","4,098636","5,551886","7,244821","9,114432","11,053611","12,870812","14,432292","15,578767","16,064420","15,806993","14,760671","12,998744","10,711585","8,172812","5,701001"
