η_e \ Δ,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875
"0,25","30,685098","30,731186","31,015063","31,536618","32,321633","33,403015","34,786777","36,559452","38,877987","41,752382","45,397342","50,064459","56,099766","64,014451","74,614212","89,152910"
"0,30","29,036144","28,873483","28,942720","29,239234","29,781453","30,594719","31,683772","33,118931","35,031471","37,432346","40,502584","44,456756","49,590082","56,338778","65,390402","77,814155"
"0,35","28,058955","27,715844","27,604643","27,716680","28,064358","28,667016","29,528414","30,706394","32,313024","34,360381","37,004574","40,433174","44,904449","50,800185","58,722259","69,606072"
"0,40","27,525389","27,017227","26,745183","26,696736","26,879034","27,306349","27,981636","28,952561","30,316024","32,085373","34,397296","37,418698","41,379659","46,620521","53,677999","63,385848"
"0,45","27,308136","26,642717","26,220922","26,026429","26,061571","26,336130","26,852367","27,649246","28,811180","30,352917","32,395391","35,089097","38,641825","43,361218","49,732649","58,509871"
"0,50","27,331346","26,511489","25,945589","25,613457","25,512840","25,649383","26,024714","26,670067","27,659211","29,008417","30,825418","33,247295","36,463705","40,755768","46,567272","54,587254"
"0,55","27,547870","26,572824","25,864664","25,399180","25,169619","25,177679","25,424391","25,933891","26,770602","27,952446","29,575777","31,766450","34,699032","38,632637","43,976619","51,366509"
"0,60","27,927765","26,793974","25,942522","25,344949","24,989970","24,875414","25,001725","25,386333","26,085242","27,118152","28,571370","30,561164","33,249299","36,876292","41,822462","48,678295"
"0,65","28,452076","27,153585","26,155455","25,424675","24,945292","24,711254","24,722407","24,989685","25,561332","26,458958","27,759808","29,571812","32,045698","35,406011","40,008213","46,404293"
"0,70","29,109286","27,637932","26,487669","25,620549","25,015734","24,663197","24,562151","24,717102","25,168989","25,941475","27,103457","28,755509","31,038693","34,163658","38,464297","44,459275"
"0,75","29,893229","28,238675","26,928876","25,920474","25,187439","24,715596","24,503470","24,549088","24,886376","25,541195","26,574622","28,080629","30,191716","33,106283","37,139295","42,780250"
