η_e \ Δ,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875
"0,25","30,466290","31,132016","32,011884","33,118192","34,493669","36,187139","38,209215","40,675336","43,785860","47,549940","52,237004","58,157902","65,738457","75,606374","88,749790","106,705165"
"0,30","27,778991","28,274434","28,963856","29,856345","30,987672","32,398918","34,099667","36,187217","38,831892","42,043398","46,051046","51,120798","57,616591","66,074614","77,338616","92,719174"
"0,35","25,900674","26,264740","26,808962","27,539962","28,488333","29,689437","31,152226","32,960560","35,262714","38,069136","41,579803","46,028079","51,733007","59,164424","69,061442","82,571034"
"0,40","24,545499","24,802119","25,229186","25,831313","26,635032","27,671260","28,948579","30,540365","32,577887","35,072479","38,201593","42,173777","47,273931","53,921458","62,775974","74,860220"
"0,45","23,552130","23,716706","24,044898","24,539600","25,224025","26,125495","27,252408","28,669623","30,494793","32,740254","35,565509","39,159540","43,780347","49,807629","57,838438","68,797806"
"0,50","22,822721","22,905370","23,146945","23,548814","24,131376","24,918952","25,919897","27,191919","28,841429","30,881880","33,458047","36,743050","40,973112","46,495809","53,857603","63,904545"
"0,55","22,294713","22,302036","22,465283","22,784414","23,277377","23,965912","24,858443","26,006501","27,506983","29,374569","31,741647","34,768199","38,672426","43,775345","50,581606","59,872022"
"0,60","21,926538","21,862641","21,953068","22,196445","22,608516","23,208750","24,005732","25,045527","26,416803","28,135572","30,323594","33,129765","36,757106","41,504278","47,840759","56,492506"
"0,65","21,689827","21,556932","21,577991","21,750321","22,087643","22,607373","23,318345","24,261668","25,518756","27,107069","29,139078","31,754182","35,142421","39,583360","45,516442","53,620819"
"0,70","21,564924","21,363740","21,317268","21,421516","21,688293","22,133126","22,765165","23,620941","24,775359","26,247448","28,141423","30,588443","33,767308","37,941056","43,523166","51,152346"
"0,75","21,538185","21,268126","21,154624","21,192345","21,391252","21,765091","22,323395","23,098376","24,159008","25,526012","27,296162","29,593382","32,586624","36,524475","41,797721","49,009744"
