η_e \ Δ,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875
"0,25","0,235641","0,226191","0,217530","0,209565","0,202173","0,195266","0,188927","0,182937","0,177074","0,171606","0,166341","0,161233","0,156254","0,151378","0,146575","0,141820"
"0,30","0,257827","0,246515","0,236181","0,226709","0,217948","0,209790","0,202328","0,195302","0,188448","0,182080","0,175971","0,170068","0,164339","0,158753","0,153274","0,147878"
"0,35","0,280459","0,267159","0,255044","0,243974","0,233764","0,224286","0,215646","0,207536","0,199648","0,192347","0,185366","0,178647","0,172150","0,165842","0,159682","0,153641"
"0,40","0,303754","0,288322","0,274303","0,261528","0,249779","0,238903","0,229020","0,219768","0,210797","0,202521","0,194635","0,187071","0,179785","0,172738","0,165884","0,159192"
"0,45","0,327894","0,310167","0,294105","0,279506","0,266116","0,253752","0,242551","0,232094","0,221983","0,212686","0,203855","0,195414","0,187311","0,179504","0,171941","0,164588"
"0,50","0,353043","0,332840","0,314580","0,298023","0,282876","0,268926","0,256324","0,244591","0,233275","0,222904","0,213084","0,203728","0,194778","0,186187","0,177897","0,169869"
"0,55","0,379363","0,356480","0,335847","0,317184","0,300151","0,284504","0,270409","0,257321","0,244730","0,233226","0,222368","0,212056","0,202226","0,192823","0,183783","0,175064"
"0,60","0,407016","0,381226","0,358025","0,337090","0,318029","0,300563","0,284873","0,270341","0,256397","0,243697","0,231746","0,220432","0,209684","0,199439","0,189627","0,180199"
"0,65","0,436174","0,407220","0,381234","0,357841","0,336594","0,317173","0,299776","0,283703","0,268321","0,254355","0,241251","0,228886","0,217179","0,206059","0,195449","0,185293"
"0,70","0,467021","0,434614","0,405599","0,379542","0,355932","0,334405","0,315177","0,297458","0,280543","0,265234","0,250914","0,237444","0,224733","0,212703","0,201266","0,190360"
"0,75","0,499760","0,463574","0,431255","0,402301","0,376132","0,352334","0,331136","0,311654","0,293104","0,276368","0,260761","0,246128","0,232366","0,219387","0,207093","0,195414"
