η_e \ Δ,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875
"0,25","30429,376280","31290,409739","32194,232845","33134,301983","34111,468301","35124,363778","36205,860208","37320,563550","38433,668665","39614,182419","40823,952704","42062,910727","43327,763458","44615,039236","45923,593219","47250,473458"
"0,30","33515,929913","34310,302249","35151,033171","36030,574215","36948,651998","37902,953144","38931,849633","39992,891920","41043,932768","42166,191732","43314,426957","44487,808424","45682,424110","46894,225154","48121,405437","49360,473673"
"0,35","36703,805617","37412,879401","38172,973129","38975,417432","39818,631905","40699,255470","41661,570887","42655,499005","43631,105720","44682,691998","45757,535506","46854,087951","47967,911357","49094,490072","50231,467261","51374,953204"
"0,40","40026,479971","40630,256465","41291,041024","41998,892629","42750,709202","43541,957368","44423,296798","45336,348119","46222,871133","47191,238499","48180,778984","49189,257740","50211,790394","51243,488056","52281,533098","53321,752665"
"0,45","43513,948638","43990,455400","44531,577722","45125,909894","45768,572506","46453,707697","47238,871178","48056,609575","48839,782741","49711,944068","50603,928212","51512,834571","52433,400171","53360,441957","54290,753613","55219,973080"
"0,50","47195,324860","47520,021526","47918,925592","48378,920571","48893,042016","49453,920616","50126,579475","50833,602598","51498,276816","52260,566528","53042,186368","53839,578737","54647,157993","55459,511808","56273,100103","57083,445734"
"0,55","51100,482844","51245,625559","51477,007471","51779,487630","52143,642743","52560,360848","53102,755875","53682,429553","54212,335460","54850,206204","55507,922328","56181,263678","56864,364578","57551,633044","58239,232140","58922,623883"
"0,60","55261,281337","55195,202198","55230,404042","55349,320661","55539,611923","55790,135342","56182,770853","56616,966357","56994,483722","57492,315792","58011,696260","58547,719130","59094,265444","59645,595673","60197,592960","60745,691600"
"0,65","59712,624852","59398,885811","59205,195022","59111,047025","59100,619137","59160,377485","59381,693689","59650,512133","59856,431965","60197,342661","60562,905954","60947,484356","61344,712796","61748,715481","62155,089670","62559,251711"
"0,70","64493,507613","63889,884503","63429,704109","63088,859480","62847,341120","62688,768367","62714,777763","62796,249647","62809,518803","62975,162941","63170,217293","63388,238823","63622,598972","63867,271736","64117,535713","64368,772663"
"0,75","69648,139038","68705,382477","67935,232079","67309,121596","66801,971147","66393,974794","66197,849083","66067,598271","65865,037907","65835,392598","65841,866059","65877,099500","65934,152588","66006,804302","66089,950066","66178,890048"
